"device_id","max_apps_per_event","min_apps_per_event","avg_apps_per_event","max_active_per_event","min_active_per_event","avg_active_per_event","avg_active_pct"
-5893464122623104785,NA,NA,NA,NA,NA,NA,NA
-7560708697029818408,NA,NA,NA,NA,NA,NA,NA
289797889702373958,NA,NA,NA,NA,NA,NA,NA
-402874006399730161,NA,NA,NA,NA,NA,NA,NA
5751283639860028129,NA,NA,NA,NA,NA,NA,NA
-848943298935149395,NA,NA,NA,NA,NA,NA,NA
7918118984690678938,NA,NA,NA,NA,NA,NA,NA
-5045999078783569038,NA,NA,NA,NA,NA,NA,NA
-4466603005916311099,NA,NA,NA,NA,NA,NA,NA
501940708836600976,NA,NA,NA,NA,NA,NA,NA
2401578088792623609,NA,NA,NA,NA,NA,NA,NA
3790071869532760430,NA,NA,NA,NA,NA,NA,NA
-6146319690009200299,NA,NA,NA,NA,NA,NA,NA
7497851506702078643,NA,NA,NA,NA,NA,NA,NA
8196321807284326823,NA,NA,NA,NA,NA,NA,NA
-803610555349246758,NA,NA,NA,NA,NA,NA,NA
5891374780893231062,NA,NA,NA,NA,NA,NA,NA
-4850154653068362049,NA,NA,NA,NA,NA,NA,NA
-2692866163874215770,NA,NA,NA,NA,NA,NA,NA
-988791013574959554,NA,NA,NA,NA,NA,NA,NA
2706672626933218689,NA,NA,NA,NA,NA,NA,NA
2693830763629647823,NA,NA,NA,NA,NA,NA,NA
4376893918699829331,NA,NA,NA,NA,NA,NA,NA
-3414771948548191937,NA,NA,NA,NA,NA,NA,NA
-2858906660937117741,NA,NA,NA,NA,NA,NA,NA
-3215348996589663297,NA,NA,NA,NA,NA,NA,NA
-2923586054882771834,NA,NA,NA,NA,NA,NA,NA
6954091558526049914,NA,NA,NA,NA,NA,NA,NA
5872285898854951798,NA,NA,NA,NA,NA,NA,NA
-4862326327257097140,NA,NA,NA,NA,NA,NA,NA
-6530044767913863557,NA,NA,NA,NA,NA,NA,NA
8846527708742464296,NA,NA,NA,NA,NA,NA,NA
3466015781607852850,NA,NA,NA,NA,NA,NA,NA
-7475493346378706869,NA,NA,NA,NA,NA,NA,NA
-3471802655604601853,NA,NA,NA,NA,NA,NA,NA
-5494138654748614799,NA,NA,NA,NA,NA,NA,NA
381740713984922099,NA,NA,NA,NA,NA,NA,NA
5327782337179231365,NA,NA,NA,NA,NA,NA,NA
-3396043666153366019,NA,NA,NA,NA,NA,NA,NA
-7494155727529828287,NA,NA,NA,NA,NA,NA,NA
3554468481448623864,NA,NA,NA,NA,NA,NA,NA
-6482919230066345378,NA,NA,NA,NA,NA,NA,NA
4231882985343693248,NA,NA,NA,NA,NA,NA,NA
-3743919623272831139,NA,NA,NA,NA,NA,NA,NA
-5358195747208073854,NA,NA,NA,NA,NA,NA,NA
-6274895482425268386,NA,NA,NA,NA,NA,NA,NA
2368287259769620022,NA,NA,NA,NA,NA,NA,NA
-8718416018479411288,NA,NA,NA,NA,NA,NA,NA
3642435637468209232,NA,NA,NA,NA,NA,NA,NA
2649424062195522231,NA,NA,NA,NA,NA,NA,NA
-355980415228796022,NA,NA,NA,NA,NA,NA,NA
6333856054799385178,NA,NA,NA,NA,NA,NA,NA
5648813490709872323,NA,NA,NA,NA,NA,NA,NA
-9204013025580817616,NA,NA,NA,NA,NA,NA,NA
-8916622482047157311,NA,NA,NA,NA,NA,NA,NA
501303002072183409,NA,NA,NA,NA,NA,NA,NA
-6969589243767820912,NA,NA,NA,NA,NA,NA,NA
-1446105466864756337,NA,NA,NA,NA,NA,NA,NA
913083310471431753,NA,NA,NA,NA,NA,NA,NA
266758467859794697,NA,NA,NA,NA,NA,NA,NA
89413615241742485,NA,NA,NA,NA,NA,NA,NA
1692945297299996840,NA,NA,NA,NA,NA,NA,NA
-9069555175930673909,NA,NA,NA,NA,NA,NA,NA
-2747671776317874965,NA,NA,NA,NA,NA,NA,NA
5628797781615192254,NA,NA,NA,NA,NA,NA,NA
-6125220131227096631,NA,NA,NA,NA,NA,NA,NA
-3200366472109862140,NA,NA,NA,NA,NA,NA,NA
-2924959614258446900,NA,NA,NA,NA,NA,NA,NA
7743511528126163516,NA,NA,NA,NA,NA,NA,NA
-7672741954499424000,NA,NA,NA,NA,NA,NA,NA
-2052692266734810307,NA,NA,NA,NA,NA,NA,NA
159306857772895002,NA,NA,NA,NA,NA,NA,NA
-5221436342739379785,NA,NA,NA,NA,NA,NA,NA
6871880491175233553,NA,NA,NA,NA,NA,NA,NA
-157904066553766016,NA,NA,NA,NA,NA,NA,NA
4987014215831325572,NA,NA,NA,NA,NA,NA,NA
-5720795081294955325,NA,NA,NA,NA,NA,NA,NA
1204441603415701350,NA,NA,NA,NA,NA,NA,NA
-1188056921964724104,NA,NA,NA,NA,NA,NA,NA
-8238621464594527487,NA,NA,NA,NA,NA,NA,NA
6388479051361027798,NA,NA,NA,NA,NA,NA,NA
-7863980417145391089,NA,NA,NA,NA,NA,NA,NA
-7805967058057404380,NA,NA,NA,NA,NA,NA,NA
3339161312541057576,NA,NA,NA,NA,NA,NA,NA
-8689765655393683698,NA,NA,NA,NA,NA,NA,NA
6742813947363748188,NA,NA,NA,NA,NA,NA,NA
2549791735150659735,NA,NA,NA,NA,NA,NA,NA
-4269267423126156598,NA,NA,NA,NA,NA,NA,NA
-2930635920472912506,NA,NA,NA,NA,NA,NA,NA
2471571939502674973,NA,NA,NA,NA,NA,NA,NA
1842294958196776135,NA,NA,NA,NA,NA,NA,NA
-721215834438940744,NA,NA,NA,NA,NA,NA,NA
3888511867359625605,NA,NA,NA,NA,NA,NA,NA
-9007033906975650260,NA,NA,NA,NA,NA,NA,NA
9267219970252151,NA,NA,NA,NA,NA,NA,NA
6758713267502072822,NA,NA,NA,NA,NA,NA,NA
-3889214805208038186,NA,NA,NA,NA,NA,NA,NA
2031937756678118628,NA,NA,NA,NA,NA,NA,NA
6415703916832714574,NA,NA,NA,NA,NA,NA,NA
1813801221671794505,NA,NA,NA,NA,NA,NA,NA
-6447571388675007302,NA,NA,NA,NA,NA,NA,NA
2864719211409436459,NA,NA,NA,NA,NA,NA,NA
-909754136142754671,NA,NA,NA,NA,NA,NA,NA
3669464369358936369,NA,NA,NA,NA,NA,NA,NA
9030670194416202351,NA,NA,NA,NA,NA,NA,NA
2317155217730802577,NA,NA,NA,NA,NA,NA,NA
4320489107770957094,NA,NA,NA,NA,NA,NA,NA
9071325870340133651,NA,NA,NA,NA,NA,NA,NA
-8940921823583497902,NA,NA,NA,NA,NA,NA,NA
-8489057818062967383,NA,NA,NA,NA,NA,NA,NA
7711484701573736973,NA,NA,NA,NA,NA,NA,NA
-5223248548196066866,NA,NA,NA,NA,NA,NA,NA
1746360008141936698,NA,NA,NA,NA,NA,NA,NA
-789612748918309267,NA,NA,NA,NA,NA,NA,NA
707027968308111860,NA,NA,NA,NA,NA,NA,NA
1961760065362451690,NA,NA,NA,NA,NA,NA,NA
-8010625019754870340,NA,NA,NA,NA,NA,NA,NA
1401814204754652004,NA,NA,NA,NA,NA,NA,NA
-6501492540910069543,NA,NA,NA,NA,NA,NA,NA
5894365720576190197,NA,NA,NA,NA,NA,NA,NA
-7189520469003869157,NA,NA,NA,NA,NA,NA,NA
5835504815931502176,NA,NA,NA,NA,NA,NA,NA
4368150756552694988,NA,NA,NA,NA,NA,NA,NA
